league,link
Germany - Bundesliga ,https://www.pinnacle.com/en/soccer/germany-bundesliga-3/matchups
Germany - Cup,https://www.pinnacle.com/en/soccer/germany-cup/matchups
Gibraltar - Premier Division,https://www.pinnacle.com/en/soccer/gibraltar-premier-division/matchups
Greece - Super League,https://www.pinnacle.com/en/soccer/greece-super-league/matchups
Guatemala - Liga Nacional,https://www.pinnacle.com/en/soccer/guatemala-liga-nacional/matchups
Honduras - Liga Nacional,https://www.pinnacle.com/en/soccer/honduras-liga-nacional/matchups
Hungary - NB ,https://www.pinnacle.com/en/soccer/hungary-nb-1/matchups
Iceland - Premier League,https://www.pinnacle.com/en/soccer/iceland-premier-league/matchups
Iran - Azadegan League,https://www.pinnacle.com/en/soccer/iran-azadegan-league/matchups
Iran - Pro League,https://www.pinnacle.com/en/soccer/iran-pro-league/matchups
Ireland - National League Women,https://www.pinnacle.com/en/soccer/ireland-national-league-women/matchups
Ireland - Premier,https://www.pinnacle.com/en/soccer/ireland-premier/matchups
Israel - Liga Bet,https://www.pinnacle.com/en/soccer/israel-liga-bet/matchups
Israel - Premier League,https://www.pinnacle.com/en/soccer/israel-premier-league/matchups
Italy - Cup,https://www.pinnacle.com/en/soccer/italy-cup/matchups
Italy - Primavera,https://www.pinnacle.com/en/soccer/italy-primavera/matchups
Italy - Serie B,https://www.pinnacle.com/en/soccer/italy-serie-b/matchups
Italy - Serie C,https://www.pinnacle.com/en/soccer/italy-serie-c/matchups
Italy - Serie D Group C,https://www.pinnacle.com/en/soccer/italy-serie-d-group-c/matchups
Italy - Serie D Group H,https://www.pinnacle.com/en/soccer/italy-serie-d-group-h/matchups
Japan - J League,https://www.pinnacle.com/en/soccer/japan-j-league/matchups
Japan - J2 League,https://www.pinnacle.com/en/soccer/japan-j2-league/matchups
Japan - Nadeshiko League Women,https://www.pinnacle.com/en/soccer/japan-nadeshiko-league-women/matchups
Jordan - Pro League,https://www.pinnacle.com/en/soccer/jordan-pro-league/matchups
Korea Republic - K League ,https://www.pinnacle.com/en/soccer/korea-republic-k-league-1/matchups
Korea Republic - K League ,https://www.pinnacle.com/en/soccer/korea-republic-k-league-2/matchups
Korea Republic - K3 League,https://www.pinnacle.com/en/soccer/korea-republic-k3-league/matchups
Kuwait - Premier League,https://www.pinnacle.com/en/soccer/kuwait-premier-league/matchups
Luxembourg - National Division,https://www.pinnacle.com/en/soccer/luxembourg-national-division/matchups
Mexico - Liga de Expansión MX,https://www.pinnacle.com/en/soccer/mexico-liga-de-expansin-mx/matchups
Mexico - Primera Division,https://www.pinnacle.com/en/soccer/mexico-primera-division/matchups
Morocco - Botola Pro,https://www.pinnacle.com/en/soccer/morocco-botola-pro/matchups
Netherlands - Eredivisie,https://www.pinnacle.com/en/soccer/netherlands-eredivisie/matchups
Norway - Eliteserien,https://www.pinnacle.com/en/soccer/norway-eliteserien/matchups
Panama - Primera Division,https://www.pinnacle.com/en/soccer/panama-primera-division/matchups
Paraguay - Division Profesional,https://www.pinnacle.com/en/soccer/paraguay-division-profesional/matchups
Peru - Primera Division,https://www.pinnacle.com/en/soccer/peru-primera-division/matchups
Poland - 1st Liga,https://www.pinnacle.com/en/soccer/poland-1st-liga/matchups
Poland - 2nd Liga,https://www.pinnacle.com/en/soccer/poland-2nd-liga/matchups
Poland - 3rd Liga,https://www.pinnacle.com/en/soccer/poland-3rd-liga/matchups
Poland - Ekstraklasa,https://www.pinnacle.com/en/soccer/poland-ekstraklasa/matchups
Portugal - Campeonato de Portugal Prio,https://www.pinnacle.com/en/soccer/portugal-campeonato-de-portugal-prio/matchups
Portugal - LigaPro,https://www.pinnacle.com/en/soccer/portugal-ligapro/matchups
Portugal - Primeira Liga,https://www.pinnacle.com/en/soccer/portugal-primeira-liga/matchups
Romania - Liga ,https://www.pinnacle.com/en/soccer/romania-liga-1/matchups
Russia - Cup,https://www.pinnacle.com/en/soccer/russia-cup/matchups
Russia - FNL,https://www.pinnacle.com/en/soccer/russia-fnl/matchups
Russia - Premier League,https://www.pinnacle.com/en/soccer/russia-premier-league/matchups
Russia - Supreme Division Women,https://www.pinnacle.com/en/soccer/russia-supreme-division-women/matchups
Scotland - Cup,https://www.pinnacle.com/en/soccer/scotland-cup/matchups
Slovakia - Super Liga,https://www.pinnacle.com/en/soccer/slovakia-super-liga/matchups
Slovenia - 2. SNL,https://www.pinnacle.com/en/soccer/slovenia-2-snl/matchups
Slovenia - Prva Liga,https://www.pinnacle.com/en/soccer/slovenia-prva-liga/matchups
South Africa - Cup,https://www.pinnacle.com/en/soccer/south-africa-cup/matchups
Spain - Nacional Women,https://www.pinnacle.com/en/soccer/spain-nacional-women/matchups
Spain - Segunda B Group ,https://www.pinnacle.com/en/soccer/spain-segunda-b-group-1/matchups
Spain - Segunda B Group ,https://www.pinnacle.com/en/soccer/spain-segunda-b-group-2/matchups
Spain - Segunda B Group ,https://www.pinnacle.com/en/soccer/spain-segunda-b-group-3/matchups
Spain - Segunda B Group ,https://www.pinnacle.com/en/soccer/spain-segunda-b-group-4/matchups
Spain - Segunda Division,https://www.pinnacle.com/en/soccer/spain-segunda-division/matchups
Spain - Segunda Women,https://www.pinnacle.com/en/soccer/spain-segunda-women/matchups
Spain - Tercera Division Group ,https://www.pinnacle.com/en/soccer/spain-tercera-division-group-1/matchups
Spain - Tercera Division Group ,https://www.pinnacle.com/en/soccer/spain-tercera-division-group-10/matchups
Spain - Tercera Division Group ,https://www.pinnacle.com/en/soccer/spain-tercera-division-group-12/matchups
Spain - Tercera Division Group ,https://www.pinnacle.com/en/soccer/spain-tercera-division-group-14/matchups
Spain - Tercera Division Group ,https://www.pinnacle.com/en/soccer/spain-tercera-division-group-16/matchups
Spain - Tercera Division Group ,https://www.pinnacle.com/en/soccer/spain-tercera-division-group-18/matchups
Spain - Tercera Division Group ,https://www.pinnacle.com/en/soccer/spain-tercera-division-group-4/matchups
Spain - Tercera Division Group ,https://www.pinnacle.com/en/soccer/spain-tercera-division-group-5/matchups
Spain - U19 League,https://www.pinnacle.com/en/soccer/spain-u19-league/matchups
Sweden - Allsvenskan,https://www.pinnacle.com/en/soccer/sweden-allsvenskan/matchups
Sweden - Superettan,https://www.pinnacle.com/en/soccer/sweden-superettan/matchups
Switzerland - Challenge League,https://www.pinnacle.com/en/soccer/switzerland-challenge-league/matchups
Switzerland - Super League,https://www.pinnacle.com/en/soccer/switzerland-super-league/matchups
Tanzania - Premier League,https://www.pinnacle.com/en/soccer/tanzania-premier-league/matchups
Turkey - 1st League,https://www.pinnacle.com/en/soccer/turkey-1st-league/matchups
Turkey - Super League,https://www.pinnacle.com/en/soccer/turkey-super-league/matchups
UEFA - EURO,https://www.pinnacle.com/en/soccer/uefa-euro/matchups
Uganda - Premier League,https://www.pinnacle.com/en/soccer/uganda-premier-league/matchups
Ukraine - Premier League,https://www.pinnacle.com/en/soccer/ukraine-premier-league/matchups
USA - Major League Soccer,https://www.pinnacle.com/en/soccer/usa-major-league-soccer/matchups
USA - NWSL Cup,https://www.pinnacle.com/en/soccer/usa-nwsl-cup/matchups
USA - USL Championship,https://www.pinnacle.com/en/soccer/usa-usl-championship/matchups
USA - USL League One,https://www.pinnacle.com/en/soccer/usa-usl-league-one/matchups
Venezuela - Primera Division,https://www.pinnacle.com/en/soccer/venezuela-primera-division/matchups
Wales - Premier League,https://www.pinnacle.com/en/soccer/wales-premier-league/matchups
